italiano,Individ_ID,Age_Cohort,Individ_Name,tag,Mark_L_1_color,Mark_L_1_Nr,Mark_L_2_color,Mark_L_2_Nr,Mark_R_1_color,Mark_R_1_Nr,Mark_R_2_color,Mark_R_2_Nr,collar,remark,Sex
,V02X,2018,fioretto,-/GG,,,,,green,,green,,,perso marche sx (BV),m
,V02T,2014,neon,-/VB(62),,,,,violet,,blue,62,,perso marche sx (OB),m
,V06Q,2014,julio,-/WG,,,,,white,,green,,,perso marche sx (VB),m
,V09W,2018,coco,B(52)B(26)/WY(30),blue,52,blue,26,white,,yellow,30,,,m
,V05U,2015,gerri,B(53)G/-,blue,53,green,,,,,,,perso marche dx (WO(51)),m
,V07Y,2020,osso,B(1)V(20)/Y(30)B(1),blue,1,violet,20,yellow,30,blue,1,,,m
,V08X,2018,cornelio,B(44)W/GW,blue,44,white,,green,,white,,,corno sx punta rotta,m
,V06S,2013,ibis,B(5)Y(24)/GW,blue,5,yellow,24,green,,white,,,,m
,V03U,2018,alfred,GB(86)/VY(97),green,,blue,86,violet,,yellow,97,,,m
,V01Z,2022,nei,GG/V(49)V(49),green,,green,,violet,49,violet,49,,,m
,V02V,2018,rufus,GO(50)/O(42)G,green,,orange,50,orange,42,green,,,,m
,V02Z,2022,dizzy,GV(45)/B(60)O(27),green,,violet,45,blue,60,orange,27,,,m
,V05P,2014,molotov,GW/VG,green,,white,,violet,,green,,,,m
,V05X,2016,plodze,GY(99)/B(55)B(25),green,,yellow,99,blue,55,blue,25,,,m
,V01U,2014,anubi,O(28)G/VW,orange,28,green,,,,,,,perso marche dx (VW),m
,V08Z,2020,leffe,O(70)G/B(10)W,orange,70,green,,blue,10,white,,,,m
,V04Z,2020,cadore,O(37)G/WO(85),orange,37,green,,white,,orange,85,,,m
,V01X,2016,enea,O(83)O(45)/WW,orange,83,orange,45,white,,white,,,,m
,V01Y,2018,leone,O(77)V/B(63)Y(84),orange,77,violet,,blue,63,yellow,84,,,m
,V08W,2018,ciock,O(58)W/-,orange,58,white,,,,,,,perso marche sx (YG),m
,V01W,2018,libero,O(85)Y(31)/B(72)G,orange,85,yellow,31,blue,72,green,,,,m
,V08Y,2020,arvino,VB/Y(29)V,violet,,blue,,yellow,29,violet,,,,m
,V04S,2015,crosta,VG/Y(22)V,violet,,green,,yellow,22,violet,,,Chiapili/Seyvaz,m
,V10Y,2020,pecchio,V(80)O(89)/GO(73),violet,80,orange,89,green,,orange,73,,,m
,V04Y,2021,maiorca,V(1)V(1)/Y(25)G,violet,1,violet,1,yellow,25,green,,,Vittorio Emanuele II,m
,V05W,2015,gaio,VW/GY(32),violet,,white,,green,,yellow,32,,,m
,V08Q,2014,francis,VY(90)/GO(71),violet,,yellow,90,green,,orange,71,,,m
,V10X,2020,berio,VY(21)/VY(25),violet,,yellow,21,violet,,yellow,25,,,m
,V06Z,2022,ezio,WG/WG,white,,green,,white,,green,,,,m
,V07W,2016,saro,WG/Y(43)Y(22),white,,green,,yellow,43,yellow,22,,,m
,V10W,2016,uovo,WO(57)/VO(58),white,,orange,57,violet,,orange,58,,,m
,V05Y,2021,filo,WO(83)/GV(10),white,,orange,83,green,,violet,10,,Vittorio Emanuele II,m
,V04W,2016,rambo,WV/B(6)Y(23),white,,violet,,blue,6,yellow,23,,,m
,V02Y,2020,fionda,WV(9)/O(78)V(8),white,,violet,9,orange,78,violet,8,,,m
,V03Z,2021,buck,WW/O(54)O(44),white,,white,,orange,54,orange,44,,,m
,V03Y,2020,zen,WY(82)/Y(51)V,white,,yellow,82,yellow,51,violet,,,,m
,V11W,2015,baldassarre,WY(85)/O(29)B(35),white,,yellow,85,orange,29,blue,35,,,m
,V06U,2018,brunello,Y(38)B(38)/O(55)Y(93),yellow,38,blue,38,orange,55,yellow,93,,,m
,V06Y,2019,kai,Y(39)G/VO(75),yellow,39,green,,violet,,orange,75,,,m
,V02W,2018,gap,Y(53)O(82)/WB(36),yellow,53,orange,82,white,,blue,36,,,m
,V09Y,2018,finch,Y(28)O(72)/WW,yellow,28,orange,72,white,,white,,,,m
,V05Z,2019,pisson,Y(70)V(80)/Y(78)O(87),yellow,70,violet,80,yellow,78,orange,87,,,m
,V04U,2016,sputnik,Y(75)W/-,yellow,75,white,,,,,,,perso marche dx (BO),m
,V07Z,2022,cranio,Y(34)W/WV(50),yellow,34,white,,white,,violet,50,,,m
,V06X,2018,marcus,Y(35)Y(20)/VG,yellow,35,yellow,20,violet,,green,,,,m
,V10L,2010,juno,,,,,,,,,,giallo bande rosse,,f
,V07N,2009,diletta,Y(41)O/WO,yellow,41,orange,,white,,orange,,,,f
,V05N,2009,dorotea,GV/Y(42)Y,green,,violet,,yellow,42,yellow,,,,f
,V06N,2010,drosera,YY(58-98)/GG,yellow,58,yellow,98,green,,green,,,,f
